site,max_sumTU_ms_corr_corr,par_aqu_diet,tet_aqu_diet,num_par,num_tet,biomass,Comp.1,Comp.2
A,-1.058721063,NA,0.554,73,0,365.55136,-1.321864384,-1.7366305061
B,-1.3491473,NA,NA,103,1,NA,NA,NA
C,-0.813541735,0.388,0.433,33,2,148.20219,-2.9903158642,-1.0713327497
D,-0.179197845,0.432,0.468,NA,7,413.61391,4.5825316004,1.5129013872
E,-0.407328368,0.466,0.535,28,1,101.48914,-1.9315688864,1.9314503255
F,-0.51244762,0.345,0.493,15,0,53.36987,-3.4283223319,2.8633483862
G,-0.168872933,NA,NA,12,2,269.05922,NA,
H,-0.470524295,NA,NA,32,0,NA,NA,NA
I,-0.853663541,NA,NA,27,2,93.73786,NA,NA
K,-0.577637633,NA,0.463,16,6,169.30719,1.8314795659,0.0263255061
L,-1.40367356,0.409,0.495,53,4,156.33706,1.0943786491,0.0643041445
M,-0.264649364,0.467,0.408,NA,2,104.95376,0.8550280516,-1.9764220983
N,-0.950689235,0.34,0.485,19,0,57.4511,-1.3443410349,0.1043617593
O,-0.927207343,NA,NA,67,0,NA,NA,NA
P,-0.042295059,NA,0.47,50,1,345.87719,0.8205977404,0.6751046672
Q,-0.311923597,0.53,0.489,50,3,70.9662,-0.4621911366,-1.9018439405
R,-1.625313645,0.365,NA,92,1,48.94953,-0.9408060167,-1.3640454103
S,-0.204290192,0.46,0.502,21,2,588.19256,1.333228351,0.8382003997
T,-0.014200838,NA,0.48,23,8,466.77628,1.1595312679,1.2603830397
